epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.4505,2.23407,3.72425,2.07821,0.00744,0.26129,0.02928,0.01168,1.46082,3.62177,1.52253,3.75e-05,3.75e-05,3.75e-05
2,11.7307,2.10218,3.68368,1.97229,0.00751,0.30484,0.17004,0.08505,1.27396,3.57468,1.40167,8.66338e-05,8.66338e-05,8.66338e-05
3,12.862,1.71593,3.47338,1.65781,0.01316,0.4992,0.35015,0.21773,1.28607,3.34742,1.21435,0.000134777,0.000134777,0.000134777
4,14.0003,1.57534,3.23978,1.4749,0.01327,0.51843,0.35398,0.20696,1.42206,3.21894,1.18656,0.000181931,0.000181931,0.000181931
5,15.0575,1.47774,2.97343,1.35905,0.01334,0.51843,0.3917,0.24616,1.39165,3.19007,1.13604,0.000228095,0.000228095,0.000228095
6,16.1395,1.4112,2.86275,1.33528,0.01349,0.51843,0.40524,0.21759,1.54788,3.22956,1.19444,0.000273269,0.000273269,0.000273269
7,17.2121,1.40405,2.6761,1.31964,0.01395,0.52083,0.41813,0.26877,1.36008,3.13459,1.11183,0.000317452,0.000317452,0.000317452
8,18.278,1.40482,2.561,1.32852,0.01407,0.51843,0.43203,0.28204,1.32663,3.08149,1.1123,0.000360646,0.000360646,0.000360646
9,19.3833,1.40069,2.32102,1.35855,0.01509,0.53142,0.42987,0.22632,1.49099,3.10376,1.2241,0.00040285,0.00040285,0.00040285
10,20.4465,1.41458,2.17818,1.3391,0.01604,0.51317,0.4368,0.23627,1.44116,3.06244,1.19636,0.000444064,0.000444064,0.000444064
11,21.5233,1.40393,2.08454,1.32985,0.01727,0.52341,0.44922,0.3263,1.13209,2.91488,1.05016,0.000484288,0.000484288,0.000484288
12,22.5905,1.47742,1.84606,1.38887,0.01873,0.53383,0.44942,0.27226,1.43818,2.92565,1.19581,0.000523521,0.000523521,0.000523521
13,23.6608,1.36274,1.69029,1.29058,0.93285,0.31122,0.43685,0.21862,1.61405,2.9047,1.28818,0.000561765,0.000561765,0.000561765
14,24.6985,1.31352,1.65779,1.27081,0.9785,0.19894,0.45785,0.29596,1.27323,2.74062,1.1416,0.000599019,0.000599019,0.000599019
15,25.7575,1.46557,1.55262,1.38812,1,0.29575,0.50668,0.30668,1.3143,2.57682,1.1925,0.000635282,0.000635282,0.000635282
16,26.7991,1.27411,1.42289,1.31755,0.99035,0.30451,0.50141,0.23625,1.64702,2.62268,1.39405,0.000670556,0.000670556,0.000670556
17,27.853,1.28764,1.39296,1.29906,0.98753,0.34877,0.51242,0.23057,1.68817,2.57099,1.44365,0.00070484,0.00070484,0.00070484
18,28.9221,1.25681,1.29697,1.28822,0.97056,0.40913,0.64314,0.37939,1.22336,2.14621,1.15343,0.000738134,0.000738134,0.000738134
19,29.9492,1.22579,1.29623,1.28044,0.95713,0.42332,0.68273,0.40265,1.23808,2.07745,1.1495,0.000770438,0.000770438,0.000770438
20,30.9881,1.27384,1.26201,1.28682,0.95289,0.41827,0.65317,0.44069,0.98431,2.02775,1.05951,0.000801751,0.000801751,0.000801751
21,32.0555,1.20688,1.25349,1.23924,0.93616,0.43625,0.69187,0.41502,1.27097,1.95828,1.12877,0.000832075,0.000832075,0.000832075
22,33.1214,1.13954,1.17946,1.20354,0.94786,0.43569,0.69329,0.43136,1.16524,1.84048,1.07812,0.000861409,0.000861409,0.000861409
23,34.1683,1.18466,1.20631,1.20136,0.95092,0.43751,0.71542,0.48523,0.94957,1.71006,1.04069,0.000889753,0.000889753,0.000889753
24,35.1972,1.21661,1.17573,1.23734,0.952,0.45067,0.78928,0.53775,0.93724,1.57619,1.03313,0.000917106,0.000917106,0.000917106
25,36.2431,1.13701,1.11893,1.19886,0.89878,0.48911,0.84396,0.56496,1.00167,1.41225,1.02595,0.00094347,0.00094347,0.00094347
26,37.2839,1.11915,1.10384,1.18887,0.88643,0.49173,0.83945,0.56065,0.94465,1.4293,1.02209,0.000940625,0.000940625,0.000940625
27,38.3063,1.1002,1.0698,1.18401,0.91774,0.42182,0.80561,0.49513,1.06952,1.59118,1.103,0.00092825,0.00092825,0.00092825
28,39.3302,1.03337,1.03323,1.12424,0.92093,0.41942,0.75387,0.47592,1.14311,1.58554,1.15666,0.000915875,0.000915875,0.000915875
29,40.3603,1.07552,1.09374,1.14493,0.9191,0.43007,0.79847,0.51368,1.08764,1.5005,1.14108,0.0009035,0.0009035,0.0009035
30,41.3921,1.0528,1.06794,1.14771,0.92011,0.44234,0.84767,0.55719,1.00624,1.38187,1.10623,0.000891125,0.000891125,0.000891125
31,42.4423,1.04763,1.07023,1.15231,0.71494,0.54013,0.89791,0.58897,0.98638,1.24548,1.07612,0.00087875,0.00087875,0.00087875
32,43.4753,1.10946,0.98526,1.14106,0.7032,0.55039,0.86517,0.5904,0.99609,1.19683,1.09206,0.000866375,0.000866375,0.000866375
33,44.5503,1.04115,1.00199,1.14811,0.76557,0.64118,0.90463,0.61233,0.93223,1.09404,1.07243,0.000854,0.000854,0.000854
34,45.5923,0.9881,0.98893,1.14425,0.80234,0.67591,0.89808,0.6345,0.88889,1.03048,1.05384,0.000841625,0.000841625,0.000841625
35,46.6301,1.05412,1.01358,1.1114,0.80714,0.77247,0.92477,0.67056,0.80588,0.94897,1.02037,0.00082925,0.00082925,0.00082925
36,47.7153,1.03987,0.99613,1.09463,0.74513,0.86532,0.93962,0.70808,0.75432,0.8673,0.97737,0.000816875,0.000816875,0.000816875
37,48.7511,1.06049,0.97168,1.1483,0.812,0.91366,0.95253,0.67257,0.94359,0.87298,1.00497,0.0008045,0.0008045,0.0008045
38,49.8031,1.03064,0.99212,1.12025,0.86075,0.91807,0.9709,0.5944,1.18236,0.869,1.08947,0.000792125,0.000792125,0.000792125
39,50.8265,1.33324,1.06109,1.17283,0.85476,0.94371,0.97064,0.59562,1.11187,0.8671,1.07006,0.00077975,0.00077975,0.00077975
40,51.8614,1.01314,0.98115,1.12742,0.83293,0.95208,0.96012,0.66587,0.96436,0.84963,1.02011,0.000767375,0.000767375,0.000767375
